method,reward_ma_tail,reward_tail,kl_ma_tail,entropy_ma_tail,ratio_std_tail,clip_fraction_tail,avg_response_len_tail,grad_norm_tail
CE-GPPO,0.36990720012414813,0.41664421298191884,-0.45802419407303896,1.9990730325528514,0.05710692620836198,0.0200245672994405,212.94833782196045,18.32461792230606
DAPO,0.34131792666669725,0.36846028787782414,-0.3685308624979611,2.45398712486852,0.059358962709084154,0.014765150253391628,201.86958805084228,18.613837368488312
CFPO,0.3107710042459478,0.3375067801703699,-0.25702278156823044,2.3481720299713937,0.052066919952631,,202.3125044441223,19.090338052511214
DCPO,0.24481162224663539,0.26131652062758803,-0.3192374665396496,2.5101875736813515,0.05913370112888515,0.00014249038961930207,211.26792221069337,21.74332199573517
GRPO,0.23229810014604374,0.2707130663731368,-0.33432815675642064,2.30493882293145,0.05748247410170734,0.019714908844106635,209.7416710090637,16.739018161296844
SAPO,0.18416262583454632,0.19628304052515888,-0.31651238953481653,2.2963584126193846,0.05674152012914419,,212.1804218673706,17.897152473926543
GSPO,-0.7990302892132567,-0.7345574582472909,-0.08080348816274027,1.6031448993395032,0.05088548856787384,,203.15000429153443,8.672936827987433
